seed,detector,variant,view,rewrite,n_harm,recall,miss_mean_p,conf_miss,fpr,recall_swap_storm,recall_early_measure,auc,ece,dj_fpr
1,feat_gb,aug_loro,L1,combined,184,0.9891304347826086,0.09696415262930863,0.005434782608695652,0.010526315789473684,0.9789473684210527,1.0,,,
1,ngram_lr,clean,L3,none,89,0.9213483146067416,0.45735057670240226,0.0,0.0,nan,0.9213483146067416,1.0,0.12727675337556432,0.0
1,ngram_lr,clean,L3,swap_to_3cx,182,0.43956043956043955,0.18402180583713793,0.054945054945054944,0.0,0.0,0.898876404494382,,,
1,ngram_lr,clean,L3,identity_pad,90,0.9222222222222223,0.4582047436867488,0.0,0.0,nan,0.9222222222222223,,,
1,ngram_lr,clean,L3,cx_pad,89,0.9213483146067416,0.45735057670240226,0.0,0.0,nan,0.9213483146067416,,,
1,ngram_lr,clean,L3,decompose,184,0.44021739130434784,0.17305983352776325,0.08152173913043478,0.0,0.0,0.9101123595505618,,,
1,ngram_lr,clean,L3,relabel,89,0.9213483146067416,0.43499310760254256,0.0,0.0,nan,0.9213483146067416,,,
1,ngram_lr,clean,L3,combined,182,0.43956043956043955,0.18571261348343393,0.054945054945054944,0.0,0.0,0.898876404494382,,,
1,ngram_lr,aug_loro,L3,swap_to_3cx,182,0.9725274725274725,0.3493556430276602,0.005494505494505495,0.0,0.978494623655914,0.9662921348314607,,,
1,ngram_lr,aug_loro,L3,identity_pad,90,0.9444444444444444,0.389652403158336,0.0,0.0,nan,0.9444444444444444,,,
1,ngram_lr,aug_loro,L3,cx_pad,89,0.9438202247191011,0.3808520443433454,0.0,0.0,nan,0.9438202247191011,,,
1,ngram_lr,aug_loro,L3,decompose,184,0.9402173913043478,0.35800327219502254,0.005434782608695652,0.0,0.9473684210526315,0.9325842696629213,,,
1,ngram_lr,aug_loro,L3,relabel,89,0.9325842696629213,0.3823739013054581,0.0,0.0,nan,0.9325842696629213,,,
1,ngram_lr,aug_loro,L3,combined,182,0.9725274725274725,0.3408801999971309,0.005494505494505495,0.0,0.978494623655914,0.9662921348314607,,,
1,cnn,clean,L3,none,89,1.0,nan,0.0,0.0,nan,1.0,1.0,0.003346804667355331,0.0
1,cnn,clean,L3,swap_to_3cx,182,0.489010989010989,0.0025860657915472984,0.510989010989011,0.0,0.0,1.0,,,
1,cnn,clean,L3,identity_pad,90,0.9888888888888889,0.05334414914250374,0.011111111111111112,0.0,nan,0.9888888888888889,,,
1,cnn,clean,L3,cx_pad,89,1.0,nan,0.0,0.0,nan,1.0,,,
1,cnn,clean,L3,decompose,184,0.483695652173913,0.0024803064297884703,0.5163043478260869,0.0,0.0,1.0,,,
